manchu_word,trans_word,desc_word,dic_id,image_file_name,image_file_page_no
ᡦᡳᠯᡤᡳᠴᠠᠨ ᠨᡳᠶᡝᡥᡝ,pilgican niyehe,〈动〉鸊鹈。,6,461,461c
ᡦᡳᠯᡨᠠᡵᡳ,piltari,〔名〕金钢钻。,6,461,461c
ᡦᡳᠯᡨᠠᡵᡳ ᠸᡝᡥᡝ ᠪᠣᠣ ᡥᡳᠩ ᡝᠮᡠ ᠠᠯᡳᡤᠠᠨ,piltari wehe boo hing emu aligan,钻石宝星一座。,6,461,461c
ᡦᡳᠯᡳᠴᡳᠨ ᡴᠠᡵᡠᠨ,pilicin karun,〈地〉辟里沁卡伦，冬季由库库鄂罗木移设，在惠宁城东北三十余里，隶惠宁城领队大臣。,6,461,461c
ᡦᡳᠴᡳ ᡦᠠᠴᠠ,pici paca,库兹库兹，踏泥水响声。,6,461,461c
ᡦᡳᠴᡳᡴ ᡦᠠᠴᠠᡴ,picik pacak,= pici paca,6,461,461c
ᡦᡳᠴᡳᡵ ᠰᡝᠮᡝ,picir seme,= picir pacar seme,6,462,462a
ᡦᡳᠴᡳᡵ ᡦᠠᠴᠠᡵ ᠰᡝᠮᡝ,picir pacar seme,密密麻麻地，凡物碎杂众多之貌。,6,461,461c
ᡦᡳᠵᠠᠨ,pijan,〔名〕①皮箱。②皮匠。③辟展，维吾尔语，草积之义，即今新疆鄯善。,6,462,462a
ᡦᡳᠶᠠᠰ,piyas,〔象〕啪嚓。,6,462,462a
ᡦᡳᠶᠠᠰ ᡦᡳᠰ ᠰᡝᠮᡝ,piyas pis seme,①行动轻佻。②连啐人声。,6,462,462a
ᡦᡳᠶᠠᡨᠠ ᡤᠠᡳᠮᠪᡳ,piyata gaimbi,打爪子，游戏中用两个手指打输者手腕玩。,6,462,462a
ᡦᡳᠶᠠᡨᠠᠩ ᠰᡝᠮᡝ,piyatang seme,= piyatar seme,6,462,462a
ᡦᡳᠶᠠᡨᠠᡵ ᠰᡝᠮᡝ,piyatar seme,喋喋不休的，指信口快嘴之状： angga piyatar sembi 侈口而谈。,6,462,462a
ᡦᡳᠶᠠᡴ,piyak,〔象〕啪，掌嘴之声。,6,462,462a
ᡦᡳᡦᡠᡵᡳ ᡳᠯᡥᠠ,pipuri ilha,〈植〉枇杷花。,6,461,461b
